oligo	XR043	XR044	XR045	XR046	XR050	XR051	XR052	XR054	group
SIN3A@04039	317	291	3	32	503	199	109	198	test
SIN3A@04040	1755	1321	1999	1694	1458	640	892	993	test
SIN3A@04041	2318	1624	3907	2503	3510	1483	4744	2345	test
SIN3A@04042	201	134	25	1281	773	305	3132	410	test
SIN3A@04043	21	26	1	0	30	23	50	109	test
SIN3A@04044	109	63	6	182	414	172	758	185	test
SIN3A@04045	935	687	1129	906	303	142	1	1	test
SIN3A@04046	293	151	82	175	190	173	78	165	test
SIN3A@04047	337	73	0	0	298	164	296	207	test
SIN3A@04048	697	643	192	349	587	347	645	712	test
SIN3A@04049	1050	1466	44	701	380	154	152	203	test
SIN3A@04050	398	346	6	205	100	52	623	2	test
SIN3A@04051	323	176	61	47	311	151	306	197	test
SIN3A@04052	610	852	46	604	170	91	60	128	test
SIN3A@04053	54	62	11	1	31	37	0	0	test
SIN3A@04054	366	377	25	193	166	115	158	1	test
SIN3A@04055	130	192	895	650	274	164	241	301	test
SIN3A@04056	223	217	853	509	0	4	0	0	test
SIN3A@04057	64	140	14	21	191	80	0	186	test
SIN3A@04058	47	130	856	481	197	108	35	42	test
SIN3A@04059	268	101	505	653	151	64	501	86	test
SIN3A@04060	215	31	0	1	258	153	217	245	test
SIN3A@04061	76	35	522	287	117	31	7	5	test
SIN3A@04062	427	102	133	65	250	77	270	55	test
SIN3A@04063	138	77	15	0	236	31	605	9	test
SIN3A@04064	526	531	11	252	299	120	3	118	test
SIN3A@04065	579	646	1108	461	700	356	1175	975	test
SIN3A@04066	134	112	1	72	315	140	170	190	test
SIN3A@04067	419	553	14	415	156	66	0	218	test
SIN3A@04068	1445	1537	130	783	1690	804	1567	1053	test
SIN3A@04069	147	54	57	1	110	10	415	0	test
SIN3A@04070	62	33	5	43	0	10	0	0	test
SIN3A@04071	244	120	524	299	283	164	714	127	test
SIN3A@04072	689	439	1117	745	199	182	547	251	test
SIN3A@04073	911	684	146	459	256	155	92	163	test
SIN3A@04074	182	80	970	505	354	130	238	7392	test
SIN3A@04075	456	265	74	45	448	190	465	486	test
SIN3A@04076	218	161	19	0	5159	165	512	174	test
SIN3A@04077	715	631	40	197	186	135	5	114	test
SIN3A@04078	65	41	17	63	448	177	217	248	test
SIN3A@04079	180	86	50	24	107	5	74	1	test
SIN3A@04080	1280	1692	80	939	537	335	677	385	test
SIN3A@04081	366	431	12	205	181	116	42	109	test
SIN3A@04082	1033	589	1284	976	369	108	68	86	test
SIN3A@04083	139	36	104	0	231	124	661	145	test
SIN3A@04084	21	0	2	0	340	128	117	277	test
SIN3A@04085	460	627	1021	816	458	237	410	247	test
SIN3A@04086	248	34	8	0	161	92	68	138	test
SIN3A@04087	260	288	936	708	47	65	9	449	test
SIN3A@04088	136	49	42	105	34	14	177	16	test
SIN3A@04089	0	0	0	4	138	35	2	3	test
SIN3A@04090	244	290	1074	652	449	205	191	298	test
